##,2004,2008,2013,2018,state,constituency,malay_voter_ratio,non_malay_voter_ratio,malay_voters,muslim_bumiputera_voters,chinese_voters,indian_voters,others_voters,non-muslim_bumiputera_voters
P001,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perlis,Padang Besar,86,13,86,0,9,0,4,0
P002,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Perlis,Kangar,81,18,81,0,16,2,0,0
P003,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perlis,Arau,88,11,88,0,8,0,3,0
P004,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Kedah,Langkawi,91,8,91,0,6,2,0,0
P005,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Kedah,Jerlun,91,10,91,0,8,0,2,0
P006,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Kedah,Kubang Pasu,86,13,86,0,9,4,0,0
P007,BN-UMNO,PR-PAS,BN-UMNO,BN-UMNO,Kedah,Padang Terap,92,7,92,0,1,0,6,0
P008,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,Kedah,Pokok Sena,80,20,80,0,18,2,0,0
P009,BN-MCA,BN-MCA,PR-PKR,PH-PKR,Kedah,Alor Setar (previously known as Alor Star)[3],61,39,61,0,34,5,0,0
P010,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Kedah,Kuala Kedah,78,22,78,0,21,1,0,0
P011,BA-PAS,PR-PAS,BN-UMNO,GS-PAS,Kedah,Pendang,88,12,88,0,6,0,6,0
P012,BN-UMNO,PR-PAS,BN-UMNO,GS-PAS,Kedah,Jerai,79,21,79,0,15,6,0,0
P013,BN-UMNO,PR-PAS,BN-UMNO,GS-PAS,Kedah,Sik,93,7,93,0,2,0,5,0
P014,BN-UMNO,PR-PKR,BN-UMNO,PH-PKR,Kedah,Merbok,65,35,65,0,17,18,0,0
P015,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Kedah,Sungai Petani,59,41,59,0,29,12,0,0
P016,BN-UMNO,PR-PAS,BN-UMNO,BN-UMNO,Kedah,Baling,89,10,89,0,5,5,0,0
P017,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Kedah,Padang Serai,56,44,56,0,23,21,0,0
P018,BN-UMNO,PR-PKR,BN-UMNO,PH-PKR,Kedah,Kulim-Bandar Baharu,68,32,68,0,19,13,0,0
P019,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Tumpat,93,7,93,0,3,0,4,0
P020,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Pengkalan Chepa,98,2,98,0,2,0,0,0
P021,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,Kelantan,Kota Bharu,83,17,83,0,16,1,0,0
P022,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Pasir Mas,97,3,97,0,3,0,0,0
P023,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Rantau Panjang,98,2,98,0,1,0,1,0
P024,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Kubang Kerian,98,2,98,0,2,0,0,0
P025,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,Kelantan,Bachok,99,1,99,0,1,0,0,0
P026,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,Kelantan,Ketereh,97,3,97,0,2,0,1,0
P027,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,Kelantan,Tanah Merah,95,5,95,0,4,1,0,0
P028,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Pasir Putih,98,2,98,0,1,0,1,0
P029,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,Kelantan,Machang,96,4,96,0,4,0,0,0
P030,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Kelantan,Jeli,99,1,99,0,0,0,1,0
P031,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,Kelantan,Kuala Krai,94,5,94,0,4,1,0,0
P032,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Kelantan,Gua Musang,80,19,80,0,7,0,12,0
P033,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Terengganu,Besut,98,2,98,0,2,0,0,0
P034,BN-UMNO,BN-UMNO,BN-UMNO,GS-PAS,Terengganu,Setiu,100,0,100,0,0,0,0,0
P035,BN-UMNO,BN-UMNO,PR-PAS,GS-PAS,Terengganu,Kuala Nerus,99,1,99,0,1,0,0,0
P036,BN-UMNO,BN-UMNO,PR-PAS,GS-PAS,Terengganu,Kuala Terengganu,89,11,89,0,10,1,0,0
P037,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,Terengganu,Marang,98,2,98,0,2,0,0,0
P038,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Terengganu,Hulu Terengganu,99,1,99,0,1,0,0,0
P039,BN-UMNO,BN-UMNO,PR-PAS,GS-PAS,Terengganu,Dungun,96,4,96,0,4,0,0,0
P040,BN-UMNO,BN-UMNO,BN-UMNO,GS-PAS,Terengganu,Kemaman,93,7,93,0,6,1,0,0
P041,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pulau Pinang,Kepala Batas,76,23,76,0,19,4,0,0
P042,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pulau Pinang,Tasek Gelugor,78,22,78,0,15,7,0,0
P043,DAP,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Bagan,15,85,15,0,70,15,0,0
P044,BA-PKR,PR-PKR,PR-PKR,PH-PKR,Pulau Pinang,Permatang Pauh,70,29,70,0,23,6,0,0
P045,DAP,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Bukit Mertajam,19,81,19,0,71,10,0,0
P046,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Batu Kawan,21,79,21,0,56,23,0,0
P047,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Pulau Pinang,Nibong Tebal,45,55,45,0,37,18,0,0
P048,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Bukit Bendera,14,85,14,0,74,11,0,0
P049,DAP,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Tanjong,5,95,5,0,86,9,0,0
P050,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Jelutong,22,78,22,0,67,11,0,0
P051,DAP,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Bukit Gelugor,14,85,14,0,75,10,0,0
P052,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Pulau Pinang,Bayan Baru,39,60,39,0,49,11,0,0
P053,BN-UMNO,PR-PKR,BN-UMNO,PH-PKR,Pulau Pinang,Balik Pulau,64,36,64,0,32,4,0,0
P054,BN-UMNO,BN-Gerakan,BN-UMNO,BN-UMNO,Perak,Gerik,68,29,68,0,16,0,13,0
P055,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Lenggong,82,16,82,0,14,0,2,0
P056,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Larut,89,11,89,0,5,6,0,0
P057,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,Perak,Parit Buntar,68,32,68,0,27,5,0,0
